Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
659;Blue Source - Pungo River Forest Conservation Project;Forestry & Land Use;Avoided Forest Conversion;North America;United States;NORTH CAROLINA;243.739;2004
672;Finite Carbon - NEFF;Forestry & Land Use;Improved Forest Management;North America;United States;NEW HAMPSHIRE;86.089;2007
674;Oneida Herkimer Landfill Ava, NY;Waste Management;Landfill Methane;North America;United States;NEW YORK;1.719.950;2010
676;Pocosin Lakes Forest Conservation Project;Forestry & Land Use;Avoided Forest Conversion;North America;United States;NORTH CAROLINA;203.317;2004
683;Blue Source - Francis Beidler Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;SOUTH CAROLINA;836.230;2007
688;Noles North Avoided Conversion Forest Project;Forestry & Land Use;Avoided Forest Conversion;North America;United States;NORTH CAROLINA;102.099;2002
694;Lucchesi Tract;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;20.374;2010
766;Terra Verdigris #2;Chemical Processes;N2O Destruction in Nitric Acid Production;North America;United States;OKLAHOMA;3.090.965;2008
768;Terra Yazoo City  # 9, Nitrous Oxide Abatement Project;Chemical Processes;N2O Destruction in Nitric Acid Production;North America;United States;MISSISSIPPI;2.460.480;2009
790;Bi-County Landfill Gas Destruction Project;Waste Management;Landfill Methane;North America;United States;TENNESSEE;913.283;2010
802;Noles South Avoided Conversion Forest Project;Forestry & Land Use;Avoided Forest Conversion;North America;United States;NORTH CAROLINA;84.901;2003
811;Rentech Energy Midwest Corporation – Nitric Acid Plant 1;Chemical Processes;N2O Destruction in Nitric Acid Production;North America;United States;ILLINOIS;1.339.597;2011
825;Cedar Grove Composting;Waste Management;Composting;North America;United States;WASHINGTON;199.584;2008
829;Hilltop Sand and Gravel Landfill GHG Project;Waste Management;Landfill Methane;North America;United States;VIRGINIA;200.701;2012
838;IESI-Trinity Timber Ridge Landfill Carbon Project;Waste Management;Landfill Methane;North America;United States;MISSOURI;656.381;2011
844;Sudbury Road Landfill Gas Destruction Project;Waste Management;Landfill Methane;North America;United States;WASHINGTON;132.602;2011
866;Cedar Grove - Maple Valley OWC Composting Project;Waste Management;Composting;North America;United States;WASHINGTON;456.007;2008
880;Johnston County Landfill Project;Waste Management;Landfill Methane;North America;United States;NORTH CAROLINA;241.613;2012
881;Athens-Clarke County Landfill Project;Waste Management;Landfill Methane;North America;United States;GEORGIA;209.167;2011
886;Roseburg LFG Energy;Waste Management;Landfill Methane;North America;United States;OREGON;140.772;2011
887;City of Thomasville MSW Landfill;Waste Management;Landfill Methane;North America;United States;GEORGIA;546.308;2011
888;Angelina County Landfill;Waste Management;Landfill Methane;North America;United States;TEXAS;325.155;2011
911;Surry County Landfill;Waste Management;Landfill Methane;North America;United States;NORTH CAROLINA;213.013;2013
917;Orange County NC Landfill Gas Project;Waste Management;Landfill Methane;North America;United States;NORTH CAROLINA;335.798;2012
935;Arcata City Forest Barnum Tract;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;43.132;2003
973;Blue Source - Bishop Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;MICHIGAN;2.514.594;2013
988;Farm Power Tillamook Regional Digester;Agriculture;Manure Methane Digester;North America;United States;OREGON;104.410;2012
989;Wakker Digester;Agriculture;Manure Methane Digester;North America;United States;WISCONSIN;46.487;2014
993;Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;961.998;2013
996;Farm Power Misty Meadow Anaerobic Digester;Agriculture;Manure Methane Digester;North America;United States;OREGON;165.112;2013
