Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
1070;Buenos Aires Ceramic Fuel Switching Project;Renewable Energy;Biomass;Latin America and the Caribbean;Brazil;;67.017;2010
1071;Jatropha Agroforestry Senegal;Forestry & Land Use;Afforestation/Reforestation;Sub-Saharan Africa;Senegal;;480;2013
1075;Kohinoor Wind Power Project in Rajasthan;Renewable Energy;Wind;Southern Asia;India;;36.380;2011
1076;Manaus Landfill Gas Project;Waste Management;Landfill Methane;Latin America and the Caribbean;Brazil;;311.911;2011
1077;Cerro de Hula Wind Project;Renewable Energy;Wind;Latin America and the Caribbean;Honduras;;206.105;2012
108;Tiefa Coal Mine Methane Utilisation for Power Generation Project;Industrial & Commercial;Mine Methane Capture;Eastern Asia;China;;167.647;2009
1081;Clean Energy Generation in Gujarat, India;Renewable Energy;Wind;Southern Asia;India;;188.634;2011
1082;Efficient Cook Stove Programme: Kenya CPA No. 2 Mathira East District co2balance UK Ltd;Household & Community;Cookstoves;Sub-Saharan Africa;Kenya;;61.231;2011
1083;Lican Hydroelectric Plant;Renewable Energy;Hydropower;Latin America and the Caribbean;Chile;;48.091;2020
1084;Energy efficiency measures in cooling systems at New Tech Park, 151 Lorong Chuan, Singapore;Industrial & Commercial;Energy Efficiency;South-Eastern Asia;Singapore;;12.966;2010
1085;EcoPlanet Bamboo Central America - Reforestation Project;Forestry & Land Use;Afforestation/Reforestation;Latin America and the Caribbean;Nicaragua;;263.426;2014
1088;4.2 MW Wind Power Project by National Enterprises at Tamil Nadu, India;Renewable Energy;Wind;Southern Asia;India;;30.981;2012
1089;Laurelbrook Farm Dairy Manure Advanced Separation Project;Agriculture;Solid Waste Separation;North America;United States;;39.273;2010
1091;SENA  HYDROELECTRIC POWER PLANT;Renewable Energy;Hydropower;Western Asia;Türkiye;;81.341;2014
1092;SOLAR POWER PROJECT IN GUJARAT, INDIA BY WAA SOLAR LIMITED;Renewable Energy;Solar - Centralized;Southern Asia;India;;8.234;2012
1093;Solar Power Project by Sai Sudhir Energy Limited;Renewable Energy;Solar - Centralized;Southern Asia;India;;0;
1094;Ecomapua Amazon REDD Project;Forestry & Land Use;REDD+;Latin America and the Caribbean;Brazil;;2.071.291;2003
1098;Anhui Suzhou 2X12.5 MW Biomass Power Generation Project;Renewable Energy;Biomass;Eastern Asia;China;;264.625;2008
1099;Qian'an Wangxin Caizi Town Windfarm Project Phase I;Renewable Energy;Wind;Eastern Asia;China;;151.259;2012
11;Waste heat power generation project at Hunan Anshi Xingyuan Power Generation Co., Ltd.;Industrial & Commercial;Waste Heat Recovery;Eastern Asia;China;;98.712;2006
1100;SANIBEY DAM AND HYDROELECTRIC POWER PLANT;Renewable Energy;Hydropower;Western Asia;Türkiye;;5.485.316;2012
1103;Upgrade of Dominican Power Partners' Los Mina power station from open cycle to combined cycle power generation;Industrial & Commercial;Waste Heat Recovery;Latin America and the Caribbean;Dominican Republic;;1.202.884;2017
1104;KALE HYDROELECTRIC POWER PLANT;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1105;OSMANCIK HYDROELECTRIC POWER PLANT;Renewable Energy;Hydropower;Western Asia;Türkiye;;0;
1109;Mithapur Solar Power Project;Renewable Energy;Solar - Centralized;Southern Asia;India;;108.159;2012
111;Kalealti 15 MW Hydropower Plant, Turkey;Renewable Energy;Hydropower;Western Asia;Türkiye;;297.373;2006
1111;PER 1 AND PER 2 WIND POWER PLANTS (UMBRELLA PROJECT);Renewable Energy;Wind;Latin America and the Caribbean;Argentina;;189.017;2012
1112;The Russas Project;Forestry & Land Use;REDD+;Latin America and the Caribbean;Brazil;;1.407.657;2013
1113;The Valparaiso Project;Forestry & Land Use;REDD+;Latin America and the Caribbean;Brazil;;1.552.925;2012
1115;JARI/AMAPÁ REDD+ PROJECT;Forestry & Land Use;REDD+;Latin America and the Caribbean;Brazil;;2.097.201;2012
1117;ARCELIK ENERGY EFFICIENT REFRIGERATORS GROUPED PROJECT;Industrial & Commercial;Energy Efficiency;Western Asia;Türkiye;;305.407;2013
1118;Suruí Forest Carbon Project;Forestry & Land Use;REDD+;Latin America and the Caribbean;Brazil;;251.529;2012
1119;RFC Grouped Wind Projects Phase II;Renewable Energy;Wind;North America;United States;;5.110;2013
112;Yunnan Nameguo, Faguo Hydropower stations;Renewable Energy;Hydropower;Eastern Asia;China;;153.561;2007
1120;Vaayu India Wind Power Project in Jaisalmer, Rajasthan;Renewable Energy;Wind;Southern Asia;India;;85.813;2011
1121;Anhui Guzhen Biomass Generation Project;Renewable Energy;Biomass;Eastern Asia;China;;720.192;2011
1126;Jilin Liaoyuan 50MW Level Biomass Cogeneration Project;Renewable Energy;Biomass;Eastern Asia;China;;1.137.248;2007
1127;Bucakkisla HPP Run-Of-River Hydro Project;Renewable Energy;Hydropower;Western Asia;Türkiye;;438.602;2015
1128;Hangjin Yihewusu Phase I 49.5MW Wind Power Project;Renewable Energy;Wind;Eastern Asia;China;;692.208;2011
1133;Yacumama Forest Carbon Project;Forestry & Land Use;REDD+;Latin America and the Caribbean;Peru;;87.143;2012
1140;Henan Xinxiang 24MW Biomass based Cogeneration Project;Renewable Energy;Biomass;Eastern Asia;China;;917.897;2009
1142;Ticket Log Fleet Fuel Substitution;Transportation;Fleet Efficiency;Latin America and the Caribbean;Brazil;;43.429;2012
1143;Ningxia Angli Lingwu Photovoltaic Grid Connected Power Plant Project;Renewable Energy;Solar - Centralized;Eastern Asia;China;;432.853;2011
1146;The Hyundai Waste Energy Recovery CO-Generation Project Phase II;Industrial & Commercial;Waste Gas Recovery;Eastern Asia;South Korea;;8.383.216;2013
1147;Amazon Rio IFM;Forestry & Land Use;REDD+;Latin America and the Caribbean;Brazil;;182.347;2014
1148;Luofan 24MW Hydropower Project in Guizhou Province China;Renewable Energy;Hydropower;Eastern Asia;China;;95.624;2011
1152;Arca Hydro Electricity Power Plant;Renewable Energy;Hydropower;Western Asia;Türkiye;;255.174;2012
1153;Shade Coffee & Cacao Reforestation Project;Forestry & Land Use;Afforestation/Reforestation;Latin America and the Caribbean;Peru;;0;
1155;14.70 MW Wind Power Project at Jath, Maharashtra;Renewable Energy;Wind;Southern Asia;India;;9.421;2012
1156;Kiran Energy Solar PV Project;Renewable Energy;Solar - Centralized;Southern Asia;India;;0;
1157;Saraff Energy EFB to electricity project;Renewable Energy;Biomass;South-Eastern Asia;Thailand;;0;
1159;14.7 MW Bundled Wind Power Project in the state of Maharashtra and Rajasthan, India.;Renewable Energy;Wind;Southern Asia;India;;41.444;2011
1160;6.5 MW cogeneration project in Akbarpur, Punjab;Industrial & Commercial;Natural Gas Electricity Generation;Southern Asia;India;;308.675;2009
1161;Bali Landfill Gas Recovery to Electricity Project;Waste Management;Landfill Methane;Eastern Asia;Taiwan;;1.532;2011
1163;Wind Power Project in Tirupur District;Renewable Energy;Wind;Southern Asia;India;;831.607;2013
1167;Shri Bajrang RE Project;Renewable Energy;RE Bundled;Southern Asia;India;;19.912;2008
1168;Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi;Forestry & Land Use;REDD+;Sub-Saharan Africa;Malawi;;3.325.607;2013
