Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
7504;CPA-KE-008 KISUMU;Household & Community;Biodigesters;Sub-Saharan Africa;Kenya;;37.959;2017
7505;CPA-KE-009 KENYA;Household & Community;Biodigesters;Sub-Saharan Africa;Kenya;;133.785;2017
7506;Orb Energy Solar Program in India - VPA04;Renewable Energy;Solar - Distributed;Southern Asia;India;;70.013;2018
7507;Orb Energy Solar Program in India - VPA05;Renewable Energy;Solar - Distributed;Southern Asia;India;;60.436;2019
7508;Nepal Biogas Support Program-CPA 8: 19445 digesters;Household & Community;Biodigesters;Southern Asia;Nepal;;184.740;2017
7509;Nepal Biogas Support Program-CPA 9: 17304 digesters;Household & Community;Biodigesters;Southern Asia;Nepal;;92.723;2019
751;National Biodigester Programme Cambodia;Household & Community;Biodigesters;South-Eastern Asia;Cambodia;;1.021.507;2009
7510;Household biogas plants installed in rural areas of Madhya Pradesh  India;Household & Community;Biodigesters;Southern Asia;India;;187.392;2018
7512;GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 015 by Soneva Foundation;Household & Community;Cookstoves;South-Eastern Asia;Myanmar;;18.759;2019
7513;VPA 16 Kilifi Borehole Rehabilitation Project;Household & Community;Community Boreholes;Sub-Saharan Africa;Kenya;;19.026;2021
7524;GS5658 VPA 11: Promoting energy efficiency & clean cooking in Pemba;Household & Community;Cookstoves;Sub-Saharan Africa;Mozambique;;18.805;2019
7525;BIM Solar Farm;Renewable Energy;Solar - Centralized;South-Eastern Asia;Viet Nam;;1.814.182;2019
7526;BMT Solar Farm;Renewable Energy;Solar - Centralized;South-Eastern Asia;Viet Nam;;133.408;2019
753;Mersin Wind Farm Project;Renewable Energy;Wind;Western Asia;Türkiye;;1.000.147;2010
7531;Durabric Bricks Project by 14Trees in Malawi: VPA (01);Industrial & Commercial;Brick Manufacturing Emission Reductions;Sub-Saharan Africa;Malawi;;18.210;2018
7532;200 MW solar power project in India by SB Energy.;Renewable Energy;Solar - Centralized;Southern Asia;India;;1.462.947;2019
7533;100 MW Solar Power plant in Maharashtra;Renewable Energy;Solar - Centralized;Southern Asia;India;;780.762;2019
7534;250 MW Solar Power Plant in Pavagada Solar Park in Karnataka;Renewable Energy;Solar - Centralized;Southern Asia;India;;1.614.600;2020
7535;10MW Solar Power Project (EnvironmentFirst-213);Renewable Energy;Solar - Centralized;Southern Asia;India;;43.140;2019
7538;Energising India using Solar Energy;Renewable Energy;Solar - Centralized;Southern Asia;India;;1.529.039;2019
7539;GS1729 Myanmar Stoves Campaign - Soneva in Myanmar - VPA No. 016;Household & Community;Cookstoves;South-Eastern Asia;Myanmar;;21.499;2019
7540;GS5047 VPA44 African Improved Cookstoves and Clean Water Programme: Albertine Rift Wildlife Corridor Cook Stove Project I;Household & Community;Cookstoves;Sub-Saharan Africa;Uganda;;12.072;2020
7541;GS5047 VPA45 African Improved Cookstoves and Clean Water Programme: Albertine Rift Wildlife Corridor Cook Stove Project II;Household & Community;Cookstoves;Sub-Saharan Africa;Uganda;;7.518;2022
7544;Clean Cooking Solutions for Rural Nepal;Household & Community;Cookstoves;Southern Asia;Nepal;;118.008;2018
7547;Bundled Solar Project 1 by Aditya Birla Group of Companies;Renewable Energy;Solar - Centralized;Southern Asia;India;;298.871;2019
7548;Biomass based power plant in Mahendargarh Haryana;Renewable Energy;Biomass;Southern Asia;India;;58.030;2019
7549;Bundled Solar Project 2 by Aditya Birla Group of Companies;Renewable Energy;Solar - Centralized;Southern Asia;India;;112.583;2019
7550;Chaiyaphum Wind Farm Power Project;Renewable Energy;Wind;South-Eastern Asia;Thailand;;139.728;2020
7551;AMI Khanh Hoa Solar Project;Renewable Energy;Solar - Centralized;South-Eastern Asia;Viet Nam;;209.421;2019
7553;42 MWp Bundled Solar Photovoltaic Power project in Indonesia;Renewable Energy;Solar - Centralized;South-Eastern Asia;Indonesia;;85.939;2019
7555;Solar PV power project by Roha Dyechem Pvt. Ltd. (EKIESL.CDM.Aug-11-02);Renewable Energy;Solar - Centralized;Southern Asia;India;;0;
7556;GS5658 VPA 12: Improved Cookstoves for Environmental Conservation in Southern Ethiopia;Household & Community;Cookstoves;Sub-Saharan Africa;Ethiopia;;28.120;2019
